fauteuils;entrees_2021;entrees_2020;proprietaire;part des seances de films Art et Essai;latitude;longitude;num_auto;region_administrative;code_INSEE;population_de_la_commune;departement;num_UU;unite_urbaine;population_unite_urbaine;situation_geographique;ecrans;semaines_d_activite;seances;evolution_entrees;tranche_d_entrees;categorie_Art_et_Essai;label_Art_et_Essai;zone_de_la_commune;nombre_de_films_programmes;nombre_de_films_inedits;nombre_de_films_en_semaine_1;PdM_en_entrees_des_films_francais;PdM_en_entrees_des_films_americains;PdM_en_entrees_des_films_europeens;PdM_en_entrees_des_autres_films;films_Art_et_Essai;PdM_en_entrees_des_films_Art_et_Essai
195;9 681;8 592;ASSOCIATION DEVELOPPEMENT LOISIRS ET CULTURE;55,5;48.926821;2.391627;125135;ILE-DE-FRANCE;93027;44073;93;851;Paris;10909327;02-Petite Couronne;1;28;687;12,7;De 5 à 10 000 entrées;C;RDJPPR;B;149;98;2;23,3;42,9;31,9;1,9;56;36,4
92;7 312;6 289;MAISON DES JEUNES ET DE LA CULTURE DU MONT MESLY;74,1;48.777428;2.466468;128535;ILE-DE-FRANCE;94028;92737;94;851;Paris;10909327;02-Petite Couronne;1;30;772;16,3;De 5 à 10 000 entrées;C;JP;B;138;83;1;45,4;20,2;16,1;18,2;61;67,3
490;36 917;32 547;CINEMAS DU PALAIS;88,2;48.786063;2.444158;128541;ILE-DE-FRANCE;94028;92737;94;851;Paris;10909327;02-Petite Couronne;3;32;2 899;13,4;De 30 à 40 000 entrées;C;RDJPPR;B;169;124;79;64,4;10,8;19,5;5,3;103;87
2181;142 408;109 103;PATHE DAMMARIE;13,4;48.517401;2.627798;133212;ILE-DE-FRANCE;77152;22320;77;851;Paris;10909327;03-Grande couronne;10;32;10 076;30,5;De 100 à 150 000 entrées;NON;;B;183;153;122;31,5;53;14,3;1,2;51;7,2
282;15 730;12 286;CENTRE SOCIAL CULTUREL DOMONTOIS;17,8;49.02987;2.333691;140521;ILE-DE-FRANCE;95199;15611;95;851;Paris;10909327;03-Grande couronne;1;32;946;28;De 10 à 20 000 entrées;NON;;B;102;90;10;47,3;39,4;12,7;0,5;26;13,1
227;20 721;14 009;ASSOCIATION DOURDANNAISE D'ANIMATION CULTURELLE;31,2;48.528741;2.015215;142171;ILE-DE-FRANCE;91200;10748;91;91302;Dourdan;12139;03-Grande couronne;2;32;1 497;47,9;De 20 à 30 000 entrées;E;JPPR;C;175;142;45;43,2;43,1;12,9;0,8;71;20,4
329;3 153;4 291;COMMUNE DE DRANCY;21,1;48.927466;2.438309;142752;ILE-DE-FRANCE;93029;72391;93;851;Paris;10909327;02-Petite Couronne;1;16;93;-26,5;De 2 à 5 000 entrées;NON;;B;25;23;0;20,9;73,7;5,3;0;5;8,6
345;3 001;2 838;COMMUNE DE EAUBONNE;82,4;48.992968;2.278288;144262;ILE-DE-FRANCE;95203;25454;95;851;Paris;10909327;03-Grande couronne;1;18;55;5,7;De 2 à 5 000 entrées;NON;;B;38;29;0;67,9;21,8;9,5;0,8;24;67,3
348;40 570;33 659;SOCIETE D'ECONOMIE MIXTE DU CINEMA DES SEPT MARES;34,5;48.766594;1.949214;146371;ILE-DE-FRANCE;78208;25820;78;851;Paris;10909327;03-Grande couronne;3;32;2 289;20,5;De 40 à 50 000 entrées;C;RDJPPR;B;174;140;61;44,2;40,6;14,6;0,6;67;24,7
1222;78 783;61 099;UGC SAS;25,7;48.970841;2.307185;147071;ILE-DE-FRANCE;95210;11439;95;851;Paris;10909327;03-Grande couronne;5;32;3 722;28,9;De 50 à 80 000 entrées;NON;;B;102;74;57;37,6;46;16,2;0,1;28;17,7
320;5 702;4 753;COMMUNE D'ENGHIEN LES BAINS;74,7;48.971934;2.305204;147084;ILE-DE-FRANCE;95210;11439;95;851;Paris;10909327;03-Grande couronne;1;23;209;20;De 5 à 10 000 entrées;C;JPPR;B;71;26;1;64,7;23,2;12,1;0;21;74,9
